HKQuantityTypeIdentifierStairAscentSpeed
type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 16:52:50 +0200,2022-01-31 16:51:57 +0200,2022-01-31 16:52:20 +0200,0.234715,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 16:53:10 +0200,2022-01-31 16:52:22 +0200,2022-01-31 16:52:42 +0200,0.244528,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 19:02:13 +0200,2022-01-31 19:01:36 +0200,2022-01-31 19:01:42 +0200,0.222699,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-01-31 19:02:29 +0200,2022-01-31 19:01:42 +0200,2022-01-31 19:01:51 +0200,0.304798,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-02-01 07:18:25 +0200,2022-02-01 07:16:58 +0200,2022-02-01 07:17:03 +0200,0.240596,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:04:46 +0200,2022-03-08 09:03:25 +0200,2022-03-08 09:03:36 +0200,0.290162,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:04:46 +0200,2022-03-08 09:03:39 +0200,2022-03-08 09:03:43 +0200,0.652154,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:28 +0200,2022-03-08 09:05:15 +0200,2022-03-08 09:05:19 +0200,0.567806,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:39 +0200,2022-03-08 09:05:40 +0200,2022-03-08 09:05:56 +0200,0.330901,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:39 +0200,2022-03-08 09:05:58 +0200,2022-03-08 09:06:02 +0200,0.322062,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:39 +0200,2022-03-08 09:06:02 +0200,2022-03-08 09:06:06 +0200,0.253019,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:39 +0200,2022-03-08 09:06:09 +0200,2022-03-08 09:06:13 +0200,0.499917,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:06:56 +0200,2022-03-08 09:06:16 +0200,2022-03-08 09:06:21 +0200,0.400807,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 09:09:56 +0200,2022-03-08 09:09:10 +0200,2022-03-08 09:09:18 +0200,0.215677,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 16:28:38 +0200,2022-03-08 16:27:37 +0200,2022-03-08 16:28:17 +0200,0.241933,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-08 16:28:58 +0200,2022-03-08 16:28:17 +0200,2022-03-08 16:28:23 +0200,0.318911,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-09 08:52:44 +0200,2022-03-09 08:52:08 +0200,2022-03-09 08:52:13 +0200,0.218618,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2022-03-09 13:28:35 +0200,2022-03-09 13:27:55 +0200,2022-03-09 13:28:02 +0200,0.253072,
